MASTER_CLIENT_CODE,RO_NO,RO_NO_CLIENT_CODE,MASTER_CLIENT_NAME,ATTACHMENT1,ATTACHMENT2
16561,10301/11/0102/1819,10301,"DEFENCE RESEARCH & DEV ORGANISATION, NEW DELHI",,
18379,32201/11/0006/1819,32201,DEPARTMENT OF PERSONNEL & TRAINING DELHI,,
18384,17102/13/0033/1819,17102,FAMILY WELFARE DELHI,,
18526,15502/13/0028/1819,15502,"CUSTOMS & CENTRAL EXCISE, NEW DELHI",,
145166,38117/13/0064/1819,38117,"DEPARTMENT OF DISABILITY AFFAIRS., [NEW DELHI]",,
16850,22202/13/0004/1819,22202,"MINISTRY OF INFORMATION & BROADCASTING, NEW DELHI",,
92436,19112/11/0125/1819,19112,"INDO TIBETAN BORDER POLICE,[KANPUR]",,
198235,07120/13/0001/1819,07120,"INDIAN INSTT. OF CORPORATE AFFAIRS ,GURGAON",,
18718,07101/11/0022/1819,07101,MINISTRY OF CORPORATE AFFAIRS NEW DELHI,,
16154,21103/11/0029/1819A,21103,"NATIONAL BOOK TRUST ,DELHI",,
37718,19112/11/0136/1819,19112,"INDO TIBETAN BORDER POLICE,[NEW DELHI]",,
AI1,17134/11/0003/1819,17134,"AIIPMR,MUMBAI",,
D/0,06224/11/0001/1819,06224,"D/O TELECOMMUNICATION,MEERUT",,
61321,54110/13/0002/1819,54110,"UNIQUE IDENTIFICATION AUTHORITY OF INDIA,[NEW DELHI]",,
38863,07104/11/0036/1819,07104,"OFFICE LIQUIDATOR,[NEW DELHI]",,
122774,17112/11/0042/1819,17112,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES,[DELHI]",,
21204,27101/13/0070/1819,27101,"MINISTRY OF MINORITY AFFAIRS, [NEW DELHI]",,
162248,10203/11/0008/1819,10203,"DGQA[GOVT.OF.INDIA,MIN OF DEFENCE ] ,[KANPUR]",,
194546,06305/13/0001/1819,06305,"BUSINESS DEVELOPMENT & MKTG DTE ,DELHI",,
16502,34106/11/0011/1819,34106,"BUREAU OF ENERGY EFFICIENCY, NEW DELHI",,
16469,17112/11/0044/1819,17112,"ALL INDIA INST OF MEDICAL SCIENCES, NEW DELHI",,
50991,15102/11/0021/1819,15102,"PENSION FUNDS REGULATORY & DEV. AUTHORITY,[NEW DELHI]",,
215671,21340/11/0001/1819,21340,"MAHARISHI SANDIPANI RASTRIYA VEDVIDYA PRATISTHAN ,UJJAIN",,
18778,19112/11/0145/1819,19112,INDO TIBETAN BORDER POLICE ALMORA [UTTARAKHAND],,
177129,21104/11/0008/1819,21104,"NATIONAL COUNCIL FOR EDUCATIONAL RES AND TRAINING ,NEW DELHI",,
16955,10202/11/0034/1819,10202,"ORDNANCE DEPOT, NEW DELHI",,
173958,13101/11/0021/1819,13101,"MINISTRY OF ENVIRONMENT & FOREST ,NEW DELHI ",,
116513,17216/11/0013/1819,17216,"CENTRAL COUNCIL FOR RESEARCH IN AYUVEDIC SCIENCE[GOVT. OF INDIA],[NEW DELHI]",,
18360,28101/13/0013/1819,28101,MINISTRY OF NEW & RENEWABLE ENERGY[DELHI],,
152140,05216/11/0001/1819,05216,"MINISTRY OF COMMERCE & INDUSTRIES ,NEW DELHI",,
16108,01146/11/0003/1819,01146,M/O AGRICULTURE & FARMER WELFARE KRISHI VISTRA SAD,,
15803,17201/11/0021/1819,17201,"DEPT OF AYUSH, NEW DELHI",,
74350,10119/11/0023/1819,10119,"COAST GUARD SELECTION BOARD,[NOIDA]",,
22398,47117/11/0005/1819,47117,"MINISTRY OF YOUTH AFFAIRS & SPORTS, [NEW DELHI]",,
16599,01101/13/0026/1819,01101,"DEPT OF AGRICULTURE & COOPERATION, NEW DELHI",,
